Issue Key,Test case name,,,,,,,,,,,,,,,,,,,,,
SM-669,"verify During a call, if the internet goes down, the call counter continues to run",,,,,,,,,,,,,,,,,,,,,
SM-670,Verify that the video stream initializes correctly when a user joins the session.,,,,,,,,,,,,,,,,,,,,,
SM-671,Verify that the audio and video quality is maintained during the call,,,,,,,,,,,,,,,,,,,,,
SM-673,Verify how the video call handles poor network conditions message show Network connection is unstable please try again,,,,,,,,,,,,,,,,,,,,,
SM-674,Verify that the user can mute and unmute their microphone during a call,,,,,,,,,,,,,,,,,,,,,
SM-675,Verify that the user can turn their video on and off during a call.,,,,,,,,,,,,,,,,,,,,,
SM-676,Verify that the call ends correctly when the user hangs up,,,,,,,,,,,,,,,,,,,,,
SM-677,Verify that the web app can automatically reconnect after the internet is restored.,,,,,,,,,,,,,,,,,,,,,
SM-678,"Verify the webapp ""Contact Us"" page is accessible and loads correctly when clicked from the websites main navigation.",,,,,,,,,,,,,,,,,,,,,
SM-686,"If you make 5 calls, they should connect continuously without being missed",,,,,,,,,,,,,,,,,,,,,
SM-687, Verify that the mobile app's performance during a video call is stable when the mobile device is in low battery mode,,,,,,,,,,,,,,,,,,,,,
SM-688,Verify if the mobile application crashes when the device is under low memory conditions.,,,,,,,,,,,,,,,,,,,,,
SM-689, Verify if the app crashes when switching between the app and other apps.,,,,,,,,,,,,,,,,,,,,,
SM-696,Verify that the application does not crash if phone permissions are canceled after installation.,,,,,,,,,,,,,,,,,,,,,
SM-698,verify mobile application cut the call and not going to rating screen,,,,,,,,,,,,,,,,,,,,,
SM-700, Verify that the web app for video commerce opens correctly on different mobile browsers.,,,,,,,,,,,,,,,,,,,,,
SM-701," Ensure that the web app opens and functions properly across different mobile devices (Android, iOS).",,,,,,,,,,,,,,,,,,,,,
SM-702, Verify that a user can initiate a video call from the web app on a mobile device,,,,,,,,,,,,,,,,,,,,,
SM-703, Test the video and audio quality over different mobile networks 4G ,,,,,,,,,,,,,,,,,,,,,
SM-704, Ensure that the video call interface adjusts correctly when the mobile device is rotated.,,,,,,,,,,,,,,,,,,,,,
SM-705, Verify the load time of the web app on a mobile device.,,,,,,,,,,,,,,,,,,,,,
SM-706,Ensure that all UI elements of the web app are responsive and accessible on a mobile device,,,,,,,,,,,,,,,,,,,,,
SM-707, Test how the web app handles low bandwidth situations on a mobile device.,,,,,,,,,,,,,,,,,,,,,
SM-710,verify Concurrent Sessions on Mobile and Web App,,,,,,,,,,,,,,,,,,,,,
SM-711,verify Initiating Video Calls on Both Mobile and Web,,,,,,,,,,,,,,,,,,,,,
SM-712,verify Incoming Call Handling Across Sessions,,,,,,,,,,,,,,,,,,,,,
SM-713,verify Switching Between Sessions,,,,,,,,,,,,,,,,,,,,,
SM-733,Verify that the mobile app triggers vibration when a push notification is received,,,,,,,,,,,,,,,,,,,,,
SM-734,verify the Vibration on Notification,,,,,,,,,,,,,,,,,,,,,
SM-735,verify the Vibration on Incoming Call ,,,,,,,,,,,,,,,,,,,,,
SM-736,verify the Vibration in Silent Mode,,,,,,,,,,,,,,,,,,,,,
SM-737,verify the Turning Vibration On/Off in App Settings,,,,,,,,,,,,,,,,,,,,,
SM-738,verify Go to the app's settings and turn off vibration. Trigger a notification or tap a button.,,,,,,,,,,,,,,,,,,,,,
SM-750,verify now on invalid token application screen  navigate to login screen and toast message show on the screen ,,,,,,,,,,,,,,,,,,,,,
SM-751, Verify API is called when call ends due to an error on the publisher's side,,,,,,,,,,,,,,,,,,,,,
SM-752, Validate the correct status returned by EndCallByClerk API,,,,,,,,,,,,,,,,,,,,,
SM-753,Verify that error logs are generated and stored correctly when the EndCallByClerk API is triggered due to a call ending from the publishers side.,,,,,,,,,,,,,,,,,,,,,
SM-754,Verify that the EndCallByClerk API responds within the acceptable time limit when the call ends due to an error on the publisherâ€™s side.,,,,,,,,,,,,,,,,,,,,,
SM-755, Verify how the system handles multiple call failures that trigger the EndCallByClerk API simultaneously.,,,,,,,,,,,,,,,,,,,,,
SM-756, Verify that the application navigates to the login screen when an invalid token is detected,,,,,,,,,,,,,,,,,,,,,
SM-761,validate the cancel button end call proper work,,,,,,,,,,,,,,,,,,,,,
,Verify that the toast message contains the appropriate text when the token is invalid,,,,,,,,,,,,,,,,,,,,,
,verify Ensure login screen is fully functional after navigation from invalid token scenario,,,,,,,,,,,,,,,,,,,,,
, Validate handling of multiple invalid token scenarios,,,,,,,,,,,,,,,,,,,,,
,Verify the timing of toast message display on invalid token detection,,,,,,,,,,,,,,,,,,,,,
